Data;Alaska;BTG;Exploritas;Real Investor;Opportunity
26/11/2018;1,9699843;1,0342346;1,1812271;8,67057787;1,0928845
23/11/2018;1,9903988;1,033984;1,1671143;8,72046271;1,0976507
22/11/2018;2,0222678;1,0337333;1,165166;8,77345956;1,0981856
21/11/2018;2,0003682;1,0334825;1,1602697;8,7828213;1,0972341
20/11/2018;2,0139955;1,0332328;1,1579457;8,76437273;1,0963304
19/11/2018;2,0141055;1,0329823;1,1619245;8,76517279;1,0967502
16/11/2018;2,0305089;1,0327338;1,1579364;8,80576609;1,0989342
14/11/2018;1,9887011;1,0324835;1,1684381;8,59100535;1,0888835
13/11/2018;1,9496191;1,0322345;1,1645371;8,51302308;1,0844713
12/11/2018;1,9573399;1,031988;1,1636505;8,55228355;1,0872831
09/11/2018;1,9453742;1,0317386;1,1661522;8,49559709;1,089024
08/11/2018;1,9671169;1,0314891;1,1679322;8,4339547;1,0897307
07/11/2018;2,0198658;1,0312398;1,1782615;8,57880853;1,0950128
06/11/2018;2,0523132;1,0309902;1,1769376;8,63491117;1,0965146
05/11/2018;2,1049303;1,0307404;1,1716311;8,64460304;1,09802
01/11/2018;2,0647425;1,0304926;1,1687789;8,58023495;1,0962898
31/10/2018;2,0551202;1,0302431;1,1668704;8,44159896;1,0931063
30/10/2018;2,0212315;1,0299921;1,1628231;8,41743304;1,0921655
29/10/2018;1,9916854;1,029747;1,1759843;8,23768809;1,0866079
26/10/2018;2,0366169;1,029501;1,1824858;8,30102935;1,0900678
25/10/2018;2,0303704;1,0292525;1,1880426;8,25301039;1,0833147
24/10/2018;2,0148487;1,0290032;1,1902639;8,19757422;1,0816245
23/10/2018;2,0472779;1,0287538;1,1900723;8,25854954;1,0870519
22/10/2018;2,0464736;1,0285057;1,1861522;8,17947403;1,0875628
19/10/2018;2,0204319;1,0282577;1,1902289;8,09774667;1,0836238
18/10/2018;1,9965346;1,0280088;1,1844783;8,09261091;1,0831711
17/10/2018;2,0167085;1,0277599;1,1847363;8,15918847;1,0875057
16/10/2018;2,0013535;1,0275103;1,1861582;8,02753122;1,0847763
15/10/2018;1,9451693;1,0272614;1,184923;7,89703557;1,0767239
11/10/2018;1,9453332;1,0270118;1,1843928;7,91337116;1,0716805
10/10/2018;1,9366114;1,0267613;1,1735181;7,95492661;1,0724199
09/10/2018;1,9912342;1,0265111;1,1595803;8,09188089;1,0787805
08/10/2018;1,9872106;1,026262;1,153749;8,01911839;1,0750715
05/10/2018;1,924364;1,0260133;1,1372897;7,74468964;1,0665563
04/10/2018;1,9269246;1,0257629;1,1306719;7,67803671;1,0693026
03/10/2018;1,9309852;1,0255114;1,1200656;7,65474623;1,0692828
02/10/2018;1,891302;1,0252627;1,1163173;7,51171451;1,0660528
01/10/2018;1,8229226;1,0250118;1,1201226;7,34469188;1,0631697
28/09/2018;1,8282539;1,0247639;1,1086368;7,67231788;1,0632037
27/09/2018;1,8451925;1,0245164;1,1086846;7,69776554;1,0643144
26/09/2018;1,817974;1,0242669;1,1103907;7,59906908;1,0621731
25/09/2018;1,8274129;1,0240169;1,1088708;7,63095684;1,0620441
24/09/2018;1,7992127;1,0237695;1,1141374;7,63513021;1,061346
21/09/2018;1,8280685;1,0235224;1,1140097;7,69607688;1,0612175
20/09/2018;1,799882;1,0232748;1,1039548;7,63686409;1,0596624
19/09/2018;1,8095781;1,0230248;1,1031516;7,68000463;1,0592583
18/09/2018;1,8309292;1,0227786;1,099624;7,70322783;1,0593873
17/09/2018;1,7931292;1,0225287;1,101027;7,65767231;1,0583443
14/09/2018;1,7720205;1,0222891;1,098399;7,55372605;1,0570112
13/09/2018;1,7578548;1,0220298;1,094067;7,58948072;1,0564695
12/09/2018;1,7794062;1,021779;1,1013025;7,6691647;1,0555859
11/09/2018;1,7751803;1,0215294;1,0952365;7,70174126;1,0542173
10/09/2018;1,801052;1,0212808;1,097408;7,7604903;1,0553386
06/09/2018;1,8141852;1,021033;1,1055477;7,69957707;1,053358
05/09/2018;1,7926393;1,0207841;1,1056313;7,67297734;1,0519742
04/09/2018;1,762669;1,0205345;1,1044776;7,67212634;1,0518852
03/09/2018;1,8087741;1,0202863;1,112751;7,81519126;1,0533285
31/08/2018;1,8198245;1,0200388;1,1142752;7,8267531;1,0551058
30/08/2018;1,8194777;1,0197894;1,1136592;7,78590386;1,0527692
29/08/2018;1,8588949;1,0195421;1,1167938;7,92870553;1,0591636
28/08/2018;1,8508851;1,0192946;1,1222007;7,88114956;1,0571783
27/08/2018;1,8583747;1,0190463;1,1193941;7,90005727;1,0583978
24/08/2018;1,8353165;1,0188038;1,1194495;7,82974872;1,055161
23/08/2018;1,8235991;1,0185512;1,1248509;7,78638607;1,0535146
22/08/2018;1,840718;1,0183053;1,1312343;7,98470548;1,0558857
21/08/2018;1,7980108;1,018057;1,1345623;7,86793486;1,0522428
20/08/2018;1,8301481;1,0178096;1,1356879;8,02078461;1,0564915
17/08/2018;1,8190699;1,0175629;1,1383571;7,96874169;1,0573903
16/08/2018;1,8296312;1,0173162;1,1348663;8,03780476;1,0575416
15/08/2018;1,8444896;1,0170704;1,1232056;8,0544858;1,0571556
14/08/2018;1,8958929;1,016825;1,0958863;8,15025414;1,0608142
13/08/2018;1,8805597;1,0165781;1,0851543;8,12017877;1,0550614
10/08/2018;1,851206;1,0163327;1,0807387;7,96848876;1,0541292
09/08/2018;1,9033584;1,0160862;1,0821497;8,09072613;1,0622128
08/08/2018;1,8820734;1,0158391;1,0874658;8,15302805;1,0644536
07/08/2018;1,919552;1,0155942;1,085574;8,20121536;1,064466
06/08/2018;1,9013191;1,0153487;1,0834508;8,3117827;1,0662367
03/08/2018;1,8919319;1,0151022;1,079466;8,35333399;1,0658944
02/08/2018;1,8695662;1,0148572;1,0868196;8,27302348;1,0632506
01/08/2018;1,8540623;1,014612;1,0908861;8,24860787;1,0608813
31/07/2018;1,8517168;1,0143671;1,0893455;8,13095038;1,059573
30/07/2018;1,8486678;1,0141225;1,0900098;8,21495209;1,0601655
27/07/2018;1,8404898;1,0138774;1,0920196;8,24183157;1,060859
26/07/2018;1,8360497;1,0136327;1,0967728;8,2679504;1,0621639
25/07/2018;1,8551167;1,0133876;1,0892916;8,27265713;1,0628551
24/07/2018;1,8496871;1,0131431;1,0936281;8,2197276;1,0595263
23/07/2018;1,8131083;1,0128985;1,1011187;8,19252628;1,0594982
20/07/2018;1,8152052;1,012654;1,0970776;8,24819658;1,0611683
19/07/2018;1,8017108;1,0124097;1,0899912;8,12607688;1,0609158
18/07/2018;1,792839;1,012165;1,0856744;8,04663529;1,0608241
17/07/2018;1,8164724;1,0119176;1,0886029;8,11037389;1,0613518
16/07/2018;1,7888701;1,0116716;1,0943089;8,06593815;1,0601311
13/07/2018;1,7835849;1,0114275;1,0930363;8,04407378;1,0597461
12/07/2018;1,7664522;1,011183;1,0950226;8,04128579;1,0610473
11/07/2018;1,7255009;1,0109395;1,1035258;8,00659422;1,0616546
10/07/2018;1,7473691;1,0106995;1,0977907;7,99539531;1,0602358
09/07/2018;1,7566353;1,010458;1,0995743;8,01878587;1,0588351
06/07/2018;1,7567688;1,010218;1,0974611;8,01847981;1,0596812
05/07/2018;1,734979;1,0099757;1,1015056;7,90747197;1,0575556
04/07/2018;1,7502071;1,0097331;1,0925187;7,9245255;1,0548713
03/07/2018;1,730309;1,0094885;1,087472;7,8116263;1,0527178
02/07/2018;1,7350325;1,0092404;1,0787194;7,74460759;1,0512133
29/06/2018;1,7425899;1,0089955;1,0686901;7,7618616;1,0508102
28/06/2018;1,7130307;1,0087491;1,0694469;7,7224496;1,0527912
27/06/2018;1,7022922;1,0085052;1,0716893;7,65389882;1,0473667
26/06/2018;1,7102419;1,0082608;1,066594;7,65783529;1,0494873
25/06/2018;1,6998164;1,0080139;1,063053;7,66317607;1,0471809
22/06/2018;1,6894207;1,0077666;1,0670963;7,66539103;1,0460844
21/06/2018;1,6786309;1,0075027;1,0673739;7,65820654;1,0433934
20/06/2018;1,70105;1,0072554;1,0719376;7,74252852;1,0463788
19/06/2018;1,7004749;1,0070003;1,0685327;7,69681103;1,0455868
18/06/2018;1,6780264;1,0067566;1,0536363;7,60907802;1,0429437
15/06/2018;1,6908562;1,0065009;1,0505274;7,66182999;1,0420719
14/06/2018;1,6651625;1,0062515;1,0505031;7,75184792;1,0394821
